Time,Area,Industry,Direction,Trade value
201512,MK04 Satakunta,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Exports by countries of destination,70476933.96782947
201512,MK04 Satakunta,"681, 68209, 683 Other real estate activities",Imports by countries of origin,6823701.183781019
201512,MK04 Satakunta,"681, 68209, 683 Other real estate activities",Exports by countries of destination,18927714.634050418
201512,MK04 Satakunta,"68201, 68202 Letting and operation of dwellings",Imports by countries of origin,1483413.300821961
201512,MK04 Satakunta,"68201, 68202 Letting and operation of dwellings",Exports by countries of destination,4114720.572619656
201512,MK04 Satakunta,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,59419603.177724466
201512,MK04 Satakunta,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,164819247.25685295
201512,MK04 Satakunta,B Mining and quarrying (05-09),Imports by countries of origin,3809405.356510796
201512,MK04 Satakunta,B Mining and quarrying (05-09),Exports by countries of destination,10566602.430487279
201512,MK04 Satakunta,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,23865153.183623705
201512,MK04 Satakunta,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,66197624.57230503
201512,MK04 Satakunta,F Construction (41-43),Imports by countries of origin,97038964.48656939
201512,MK04 Satakunta,F Construction (41-43),Exports by countries of destination,269168560.97848743
201512,MK04 Satakunta,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Imports by countries of origin,118601860.22731741
201512,MK04 Satakunta,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Exports by countries of destination,328980139.2220867
201512,MK04 Satakunta,H Transportation and storage (49-53),Imports by countries of origin,73850247.7681205
201512,MK04 Satakunta,H Transportation and storage (49-53),Exports by countries of destination,204847248.98729697
201512,MK04 Satakunta,I Accommodation and food service activities (55-56),Imports by countries of origin,32753765.682148896
201512,MK04 Satakunta,I Accommodation and food service activities (55-56),Exports by countries of destination,90853030.24344201
201512,MK04 Satakunta,J Information and communication (58-63),Imports by countries of origin,17658551.932984624
201512,MK04 Satakunta,J Information and communication (58-63),Exports by countries of destination,48981633.69646439
201512,MK04 Satakunta,K Financial and insurance activities (64-66),Imports by countries of origin,12128387.147520354
201512,MK04 Satakunta,K Financial and insurance activities (64-66),Exports by countries of destination,33641955.401738316
201512,MK04 Satakunta,"M Professional, scientific and technical activities (69-75)",Imports by countries of origin,40965941.715499274
201512,MK04 Satakunta,"M Professional, scientific and technical activities (69-75)",Exports by countries of destination,113632123.33346443
201512,MK04 Satakunta,N Administrative and support service activities (77-82),Imports by countries of origin,54933761.35603885
201512,MK04 Satakunta,N Administrative and support service activities (77-82),Exports by countries of destination,152376332.2452511
201512,MK04 Satakunta,O Public administration and defence; compulsory social security (84),Imports by countries of origin,115848645.14099187
201512,MK04 Satakunta,O Public administration and defence; compulsory social security (84),Exports by countries of destination,321343217.83930475
201512,MK04 Satakunta,P Education (85),Imports by countries of origin,63739302.709718026
201512,MK04 Satakunta,P Education (85),Exports by countries of destination,176801313.5643214
201512,MK04 Satakunta,Q Human health and social work activities (86-88),Imports by countries of origin,194149132.81157824
201512,MK04 Satakunta,Q Human health and social work activities (86-88),Exports by countries of destination,538534628.5444607
201512,MK04 Satakunta,"R, S Other service activities (90-96)",Imports by countries of origin,49059444.6847839
201512,MK04 Satakunta,"R, S Other service activities (90-96)",Exports by countries of destination,136082038.7776773
201512,MK04 Satakunta,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,6871170.409407323
201512,MK04 Satakunta,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,19059385.692374248
201512,MK05 Kanta-Häme,10-12 Food industry etc.,Imports by countries of origin,21280020.39146242
201512,MK05 Kanta-Häme,10-12 Food industry etc.,Exports by countries of destination,37991615.35262473
201512,MK05 Kanta-Häme,"13-15 Textile, clothing and leather industry",Imports by countries of origin,2518345.608457091
201512,MK05 Kanta-Häme,"13-15 Textile, clothing and leather industry",Exports by countries of destination,4496049.154156773
201512,MK05 Kanta-Häme,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Imports by countries of origin,5705021.397620101
201512,MK05 Kanta-Häme,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Exports by countries of destination,10185280.583839765
201512,MK05 Kanta-Häme,"17, 18 Paper industry; Printing",Imports by countries of origin,10199299.714251217
201512,MK05 Kanta-Häme,"17, 18 Paper industry; Printing",Exports by countries of destination,18208999.074334927
201512,MK05 Kanta-Häme,19-22 Chemical industry,Imports by countries of origin,5520988.449309776
201512,MK05 Kanta-Häme,19-22 Chemical industry,Exports by countries of destination,9856723.145651385
201512,MK05 Kanta-Häme,23 Manufacture of other non-metallic mineral products,Imports by countries of origin,9802175.98368683
201512,MK05 Kanta-Häme,23 Manufacture of other non-metallic mineral products,Exports by countries of destination,17500006.707717903
201512,MK05 Kanta-Häme,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Imports by countries of origin,35111549.34868059
201512,MK05 Kanta-Häme,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Exports by countries of destination,62685300.70699347
201512,MK05 Kanta-Häme,"26, 27 Manufacture of electrical and electronic products",Imports by countries of origin,4000295.1395876096
201512,MK05 Kanta-Häme,"26, 27 Manufacture of electrical and electronic products",Exports by countries of destination,7141801.1564105665
201512,MK05 Kanta-Häme,28 Manufacture of machinery and equipment n.e.c.,Imports by countries of origin,11313183.348761085
201512,MK05 Kanta-Häme,28 Manufacture of machinery and equipment n.e.c.,Exports by countries of destination,20197636.200211965
201512,MK05 Kanta-Häme,"29, 30 Manufacture of transport equipment",Imports by countries of origin,5143236.608041213
201512,MK05 Kanta-Häme,"29, 30 Manufacture of transport equipment",Exports by countries of destination,9182315.772527872
201512,MK05 Kanta-Häme,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Imports by countries of origin,9840919.762278479
201512,MK05 Kanta-Häme,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Exports by countries of destination,17569176.694704928
201512,MK05 Kanta-Häme,"681, 68209, 683 Other real estate activities",Imports by countries of origin,4920459.881139239
201512,MK05 Kanta-Häme,"681, 68209, 683 Other real estate activities",Exports by countries of destination,8784588.347352464
201512,MK05 Kanta-Häme,"68201, 68202 Letting and operation of dwellings",Imports by countries of origin,1113883.6345098673
201512,MK05 Kanta-Häme,"68201, 68202 Letting and operation of dwellings",Exports by countries of destination,1988637.1258770344
201512,MK05 Kanta-Häme,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,33455252.81388766
201512,MK05 Kanta-Häme,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,59728283.76329806
201512,MK05 Kanta-Häme,B Mining and quarrying (05-09),Imports by countries of origin,968594.4647911888
201512,MK05 Kanta-Häme,B Mining and quarrying (05-09),Exports by countries of destination,1729249.674675682
201512,MK05 Kanta-Häme,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,10431762.385801103
201512,MK05 Kanta-Häme,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,18624018.996257093
201512,MK05 Kanta-Häme,F Construction (41-43),Imports by countries of origin,54280033.806898214
201512,MK05 Kanta-Häme,F Construction (41-43),Exports by countries of destination,96907151.7688252
201512,MK05 Kanta-Häme,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Imports by countries of origin,91590292.5906548
201512,MK05 Kanta-Häme,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Exports by countries of destination,163517849.23733246
201512,MK05 Kanta-Häme,H Transportation and storage (49-53),Imports by countries of origin,34065467.32670611
201512,MK05 Kanta-Häme,H Transportation and storage (49-53),Exports by countries of destination,60817711.05834373
201512,MK05 Kanta-Häme,I Accommodation and food service activities (55-56),Imports by countries of origin,20941012.3287855
201512,MK05 Kanta-Häme,I Accommodation and food service activities (55-56),Exports by countries of destination,37386377.96648824
201512,MK05 Kanta-Häme,J Information and communication (58-63),Imports by countries of origin,13996190.016232679
201512,MK05 Kanta-Häme,J Information and communication (58-63),Exports by countries of destination,24987657.799063604
201512,MK05 Kanta-Häme,K Financial and insurance activities (64-66),Imports by countries of origin,7719697.884385775
201512,MK05 Kanta-Häme,K Financial and insurance activities (64-66),Exports by countries of destination,13782119.907165186
201512,MK05 Kanta-Häme,"M Professional, scientific and technical activities (69-75)",Imports by countries of origin,30685072.64458486
201512,MK05 Kanta-Häme,"M Professional, scientific and technical activities (69-75)",Exports by countries of destination,54782629.6937256
201512,MK05 Kanta-Häme,N Administrative and support service activities (77-82),Imports by countries of origin,34549764.5591017
201512,MK05 Kanta-Häme,N Administrative and support service activities (77-82),Exports by countries of destination,61682335.895681575
201512,MK05 Kanta-Häme,O Public administration and defence; compulsory social security (84),Imports by countries of origin,71627560.6713084
201512,MK05 Kanta-Häme,O Public administration and defence; compulsory social security (84),Exports by countries of destination,127878013.44226667
201512,MK05 Kanta-Häme,P Education (85),Imports by countries of origin,42201660.8309521
201512,MK05 Kanta-Häme,P Education (85),Exports by countries of destination,75343408.32561946
201512,MK05 Kanta-Häme,Q Human health and social work activities (86-88),Imports by countries of origin,112676594.08915898
201512,MK05 Kanta-Häme,Q Human health and social work activities (86-88),Exports by countries of destination,201163614.65502205
201512,MK05 Kanta-Häme,"R, S Other service activities (90-96)",Imports by countries of origin,32961269.636844154
201512,MK05 Kanta-Häme,"R, S Other service activities (90-96)",Exports by countries of destination,58846366.42921346
201512,MK05 Kanta-Häme,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,3361022.7928254246
201512,MK05 Kanta-Häme,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,6000496.371124615
201512,MK06 Pirkanmaa,10-12 Food industry etc.,Imports by countries of origin,41818310.08699404
201512,MK06 Pirkanmaa,10-12 Food industry etc.,Exports by countries of destination,55082617.37004817
201512,MK06 Pirkanmaa,"13-15 Textile, clothing and leather industry",Imports by countries of origin,32747739.772808973
201512,MK06 Pirkanmaa,"13-15 Textile, clothing and leather industry",Exports by countries of destination,43134962.07491552
201512,MK06 Pirkanmaa,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Imports by countries of origin,23975263.3187145
201512,MK06 Pirkanmaa,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Exports by countries of destination,31579952.728449203
201512,MK06 Pirkanmaa,"17, 18 Paper industry; Printing",Imports by countries of origin,65452894.70846214
201512,MK06 Pirkanmaa,"17, 18 Paper industry; Printing",Exports by countries of destination,86213831.87145014
201512,MK06 Pirkanmaa,19-22 Chemical industry,Imports by countries of origin,69044215.9752678
201512,MK06 Pirkanmaa,19-22 Chemical industry,Exports by countries of destination,90944280.68157306
201512,MK06 Pirkanmaa,23 Manufacture of other non-metallic mineral products,Imports by countries of origin,15727999.856208213
201512,MK06 Pirkanmaa,23 Manufacture of other non-metallic mineral products,Exports by countries of destination,20716748.148680713
201512,MK06 Pirkanmaa,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Imports by countries of origin,76127493.88884895
201512,MK06 Pirkanmaa,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Exports by countries of destination,100274296.3189302
201512,MK06 Pirkanmaa,"26, 27 Manufacture of electrical and electronic products",Imports by countries of origin,49114512.18635415
201512,MK06 Pirkanmaa,"26, 27 Manufacture of electrical and electronic products",Exports by countries of destination,64693094.39930979
201512,MK06 Pirkanmaa,28 Manufacture of machinery and equipment n.e.c.,Imports by countries of origin,100500215.68768424
201512,MK06 Pirkanmaa,28 Manufacture of machinery and equipment n.e.c.,Exports by countries of destination,132377776.97893451
201512,MK06 Pirkanmaa,"29, 30 Manufacture of transport equipment",Imports by countries of origin,19532245.308792867
201512,MK06 Pirkanmaa,"29, 30 Manufacture of transport equipment",Exports by countries of destination,25727658.35070817
201512,MK06 Pirkanmaa,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Imports by countries of origin,51740577.14429506
201512,MK06 Pirkanmaa,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Exports by countries of destination,68152118.2327989
201512,MK06 Pirkanmaa,"681, 68209, 683 Other real estate activities",Imports by countries of origin,22598353.58401035
201512,MK06 Pirkanmaa,"681, 68209, 683 Other real estate activities",Exports by countries of destination,29766302.394133292
201512,MK06 Pirkanmaa,"68201, 68202 Letting and operation of dwellings",Imports by countries of origin,5763147.961751384
201512,MK06 Pirkanmaa,"68201, 68202 Letting and operation of dwellings",Exports by countries of destination,7591155.007549069
201512,MK06 Pirkanmaa,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,97249573.11812496
201512,MK06 Pirkanmaa,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,128096066.3958588
201512,MK06 Pirkanmaa,B Mining and quarrying (05-09),Imports by countries of origin,3733270.7239916604
201512,MK06 Pirkanmaa,B Mining and quarrying (05-09),Exports by countries of destination,4917423.071392624
