Area,Time,Industry,Direction,Trade value
MK01 Uusimaa,201812,P Education (85),Imports by countries of origin,1700932871.2435162
MK01 Uusimaa,201812,P Education (85),Exports by countries of destination,819721936.0179436
MK01 Uusimaa,201812,Q Human health and social work activities (86-88),Imports by countries of origin,2659501948.017427
MK01 Uusimaa,201812,Q Human health and social work activities (86-88),Exports by countries of destination,1281680260.5963795
MK01 Uusimaa,201812,"R, S Other service activities (90-96)",Imports by countries of origin,1213364888.0934238
MK01 Uusimaa,201812,"R, S Other service activities (90-96)",Exports by countries of destination,584750775.283089
MK01 Uusimaa,201812,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,38934648.38222153
MK01 Uusimaa,201812,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,18763577.26376333
MK01 Uusimaa,201912,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,119209769.03514536
MK01 Uusimaa,201912,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,60079663.1166558
MK01 Uusimaa,201912,B Mining and quarrying (05-09),Imports by countries of origin,26822198.032907706
MK01 Uusimaa,201912,B Mining and quarrying (05-09),Exports by countries of destination,13517924.201247554
MK01 Uusimaa,201912,10-12 Food industry etc.,Imports by countries of origin,362053107.1282247
MK01 Uusimaa,201912,10-12 Food industry etc.,Exports by countries of destination,182468508.09843704
MK01 Uusimaa,201912,"13-15 Textile, clothing and leather industry",Imports by countries of origin,28871115.938199267
MK01 Uusimaa,201912,"13-15 Textile, clothing and leather industry",Exports by countries of destination,14550543.411065076
MK01 Uusimaa,201912,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Imports by countries of origin,44750229.70420886
MK01 Uusimaa,201912,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Exports by countries of destination,22553342.287150867
MK01 Uusimaa,201912,"17, 18 Paper industry; Printing",Imports by countries of origin,258349921.33085406
MK01 Uusimaa,201912,"17, 18 Paper industry; Printing",Exports by countries of destination,130203894.91062748
MK01 Uusimaa,201912,19-22 Chemical industry,Imports by countries of origin,1277640012.8973763
MK01 Uusimaa,201912,19-22 Chemical industry,Exports by countries of destination,643908483.1764395
MK01 Uusimaa,201912,23 Manufacture of other non-metallic mineral products,Imports by countries of origin,130897914.35851313
MK01 Uusimaa,201912,23 Manufacture of other non-metallic mineral products,Exports by countries of destination,65970286.33629667
MK01 Uusimaa,201912,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Imports by countries of origin,234414834.89176628
MK01 Uusimaa,201912,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Exports by countries of destination,118141025.05048645
MK01 Uusimaa,201912,"26, 27 Manufacture of electrical and electronic products",Imports by countries of origin,1550937721.673653
MK01 Uusimaa,201912,"26, 27 Manufacture of electrical and electronic products",Exports by countries of destination,781645804.5950539
MK01 Uusimaa,201912,28 Manufacture of machinery and equipment n.e.c.,Imports by countries of origin,725223805.8411539
MK01 Uusimaa,201912,28 Manufacture of machinery and equipment n.e.c.,Exports by countries of destination,365500263.03859276
MK01 Uusimaa,201912,"29, 30 Manufacture of transport equipment",Imports by countries of origin,15692848.501892183
MK01 Uusimaa,201912,"29, 30 Manufacture of transport equipment",Exports by countries of destination,7908924.402466019
MK01 Uusimaa,201912,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Imports by countries of origin,214996681.10752583
MK01 Uusimaa,201912,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Exports by countries of destination,108354611.17562494
MK01 Uusimaa,201912,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,1211189879.9234886
MK01 Uusimaa,201912,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,610418764.7125849
MK01 Uusimaa,201912,F Construction (41-43),Imports by countries of origin,2626014259.8433404
MK01 Uusimaa,201912,F Construction (41-43),Exports by countries of destination,1323465797.7099886
MK01 Uusimaa,201912,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Imports by countries of origin,4122609090.710738
