"INTERNATIONAL TRADE IN GOODS BY REGION, CC BY 4.0"

,,,"Cum. statistical value (euro) from the beginning of the year","Cum. change %","Share of total%","Share of enterprises in industrial sector %","Share of enterprises in trade sector %","Share of enterprises in other industries %","Share of private domestic enterprises %","Share of state or municipal enterprises %","Share of foreign-owned enterprises %","Number of places of enterprises","Number of enterprise places engaged in Extra-EU trade"
"202012","17 Kainuu","Imports by countries of origin",121000000,23.6,0.2,29.4,13.8,56.9,35.7,48.7,15.6,280,94
"202012","17 Kainuu","Exports by countries of destination",395000000,-10.1,0.7,25.8,53.1,21.1,25.5,0,74.5,93,55
"202012","18 Lappi","Imports by countries of origin",1601000000,-18.8,2.7,91.7,5.1,3.1,85.6,0.1,14.2,1021,277
"202012","18 Lappi","Exports by countries of destination",3446000000,-9.8,6.0,85.7,1.0,13.4,79.5,0,20.4,488,191
"202012","19 Ahvenanmaa","Imports by countries of origin",309000000,-22.2,0.5,15.5,20.9,63.6,64.2,22.9,12.9,603,145
"202012","19 Ahvenanmaa","Exports by countries of destination",85000000,-18.3,0.1,79.1,10.5,10.5,65.0,0.3,34.8,179,52
"202012","20 Unknown","Imports by countries of origin",2103000000,2.3,3.5,15.0,72.8,12.1,3.1,0.4,96.5,763,111
"202012","20 Unknown","Exports by countries of destination",770000000,-4.5,1.3,26.5,69.0,4.5,1.6,0,98.4,274,88
"202012","21 Total","Imports by countries of origin",59768000000,-9.2,100.0,40.2,50.1,9.7,51.3,3.2,45.5,39363,15368
"202012","21 Total","Exports by countries of destination",57440000000,-11.7,100.0,77.1,14.9,8.0,56.0,1.1,43.0,17900,10156
"201912","1 Uusimaa","Imports by countries of origin",38416000000,-1.1,58.3,33.8,56.3,9.9,54.3,4.8,40.9,15478,6503
"201912","1 Uusimaa","Exports by countries of destination",19361000000,3.4,29.8,64.6,23.2,12.2,54.9,1.5,43.6,7159,4159
"201912","2 Varsinais-Suomi","Imports by countries of origin",5486000000,4.9,8.3,72.5,24.5,3.1,69.7,0.3,30.0,4009,1464
"201912","2 Varsinais-Suomi","Exports by countries of destination",7450000000,17.0,11.5,91.3,7.0,1.7,52.8,0,47.2,1711,961
"201912","3 Satakunta","Imports by countries of origin",1735000000,2.4,2.6,83.4,8.7,7.9,30.8,0.4,68.8,1505,503
"201912","3 Satakunta","Exports by countries of destination",3982000000,-6.2,6.1,69.5,28.2,2.2,31.4,0.2,68.4,610,324
"201912","4 Kanta-Häme","Imports by countries of origin",972000000,3.7,1.5,40.5,51.3,8.1,63.7,1.2,35.1,1108,404
"201912","4 Kanta-Häme","Exports by countries of destination",1394000000,-0.2,2.1,89.7,3.2,7.2,29.5,2.1,68.4,457,227
"201912","5 Pirkanmaa","Imports by countries of origin",3724000000,0.7,5.7,50.0,41.3,8.7,55.1,4.6,40.3,3549,1437
"201912","5 Pirkanmaa","Exports by countries of destination",5261000000,11.6,8.1,92.7,4.5,2.8,63.2,0.6,36.1,1679,997
"201912","6 Päijät-Häme","Imports by countries of origin",1217000000,-1.2,1.8,67.4,28.5,4.2,62.0,0.5,37.4,1423,562
"201912","6 Päijät-Häme","Exports by countries of destination",1897000000,-2.5,2.9,93.6,4.5,2.0,86.7,0,13.3,683,400
"201912","7 Kymenlaakso","Imports by countries of origin",1050000000,-40.8,1.6,39.2,32.5,28.2,35.6,0.1,64.3,1002,330
"201912","7 Kymenlaakso","Exports by countries of destination",4676000000,16.3,7.2,86.9,3.6,9.5,57.9,0,42.0,475,316
"201912","8 Etelä-Karjala","Imports by countries of origin",508000000,-4.2,0.8,71.7,21.3,7.0,84.7,0.4,14.9,718,264
"201912","8 Etelä-Karjala","Exports by countries of destination",2106000000,-15.4,3.2,95.6,1.8,2.6,88.2,0,11.8,433,321
"201912","9 Etelä-Savo","Imports by countries of origin",290000000,1.7,0.4,65.2,24.2,10.6,55.3,1.6,43.1,676,208
"201912","9 Etelä-Savo","Exports by countries of destination",374000000,-4.5,0.6,93.1,2.6,4.2,52.0,0,48.0,318,180
"201912","10 Pohjois-Savo","Imports by countries of origin",565000000,7.5,0.9,63.3,26.7,10.0,77.9,1.2,20.9,1128,396
"201912","10 Pohjois-Savo","Exports by countries of destination",1578000000,4.7,2.4,96.3,2.4,1.3,79.9,0,20.1,447,250
"201912","11 Pohjois-Karjala","Imports by countries of origin",389000000,5.7,0.6,49.9,38.3,11.8,70.8,5.0,24.2,723,264
"201912","11 Pohjois-Karjala","Exports by countries of destination",921000000,-5.2,1.4,96.8,1.1,2.1,67.2,0,32.8,339,199
