"TRADE ACCORDING TO ENTERPRISE SIZE, CC BY 4.0"
"Companies in total"

,,,"Statistical value (euro) quarterly","Change %","Share of total statistical value %","Share of statistical value of product category %","Cum. statistical value (euro)","Cum. change %","Cum. share of total statistical value %","Cum. share of statistical value of product category %"
"202109","X Unspecified","Imports by countries of origin",911806327,12.9,5.0,100.0,2504971421,7.2,4.9,100.0
"202109","X Unspecified","Exports by countries of destination",361254152,10.0,2.1,100.0,1010143741,8.1,2.1,100.0
"202106","TOTAL In total","Imports by countries of origin",17136852502,27.8,100.0,100.0,33317495944,13.8,100.0,100.0
"202106","TOTAL In total","Exports by countries of destination",16356420971,25.6,100.0,100.0,31421974328,14.5,100.0,100.0
"202106","A Agricultural, forestry and fishery products","Imports by countries of origin",489030441,4.3,2.9,100.0,986965214,-0.2,3.0,100.0
"202106","A Agricultural, forestry and fishery products","Exports by countries of destination",200195615,33.8,1.2,100.0,374073233,34.3,1.2,100.0
"202106","B Mining and quarrying products","Imports by countries of origin",1285444645,36.6,7.5,100.0,3122731710,16.6,9.4,100.0
"202106","B Mining and quarrying products","Exports by countries of destination",280374983,100.1,1.7,100.0,500907678,84.2,1.6,100.0
"202106","C Industrial products","Imports by countries of origin",13870936218,27.2,80.9,100.0,26405830188,13.2,79.3,100.0
"202106","C Industrial products","Exports by countries of destination",15245683574,24.1,93.2,100.0,29438579702,13.4,93.7,100.0
"202106","C 16-18 Forest industry products","Imports by countries of origin",370104754,4.7,2.2,100.0,698807404,-2.6,2.1,100.0
"202106","C 16-18 Forest industry products","Exports by countries of destination",3323767386,23.7,20.3,100.0,6115035881,18.3,19.5,100.0
"202106","C 19-22 Chemical industry products","Imports by countries of origin",3350139459,32.5,19.5,100.0,6136432005,13.7,18.4,100.0
"202106","C 19-22 Chemical industry products","Exports by countries of destination",2473089616,4.2,15.1,100.0,5394387814,3.4,17.2,100.0
"202106","C 24-25 Metals and metal products","Imports by countries of origin",1769740759,26.5,10.3,100.0,3297087755,20.4,9.9,100.0
"202106","C 24-25 Metals and metal products","Exports by countries of destination",2882119936,34.0,17.6,100.0,5501720065,20.2,17.5,100.0
"202106","C 26-27 Electrical and electronics products","Imports by countries of origin",2467316146,20.6,14.4,100.0,4761301501,12.9,14.3,100.0
"202106","C 26-27 Electrical and electronics products","Exports by countries of destination",1906778678,22.1,11.7,100.0,3652010245,10.7,11.6,100.0
"202106","C 28 Machinery and equipment","Imports by countries of origin",1747188693,18.9,10.2,100.0,3255583027,7.7,9.8,100.0
"202106","C 28 Machinery and equipment","Exports by countries of destination",2295950368,13.5,14.0,100.0,4373548236,6.0,13.9,100.0
"202106","C 29-30 Vehicles","Imports by countries of origin",1963305470,100.3,11.5,100.0,3910663821,35.3,11.7,100.0
"202106","C 29-30 Vehicles","Exports by countries of destination",1264821484,102.4,7.7,100.0,2273184255,37.0,7.2,100.0
