Time,Area,Industry,Employment
201512,MK10 South Savo,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.03871168078389429
201512,MK10 South Savo,"17, 18 Paper industry; Printing",0.0070902409991891934
201512,MK10 South Savo,19-22 Chemical industry,0.01307640554108372
201512,MK10 South Savo,23 Manufacture of other non-metallic mineral products,0.008263322235064778
201512,MK10 South Savo,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",0.014956785757413701
201512,MK10 South Savo,"26, 27 Manufacture of electrical and electronic products",0.009056877188745321
201512,MK10 South Savo,28 Manufacture of machinery and equipment n.e.c.,0.0145427570859282
201512,MK10 South Savo,"29, 30 Manufacture of transport equipment",0.003294978177238774
201512,MK10 South Savo,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",0.012593372091017303
201512,MK10 South Savo,"681, 68209, 683 Other real estate activities",0.006658961133058465
201512,MK10 South Savo,"68201, 68202 Letting and operation of dwellings",0.002346162471751169
201512,MK10 South Savo,"A Agriculture, forestry and fishing (01-03)",0.0833577725257474
201512,MK10 South Savo,B Mining and quarrying (05-09),0.0016733658805872307
201512,MK10 South Savo,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.007970051926095883
201512,MK10 South Savo,F Construction (41-43),0.07804440457501682
201512,MK10 South Savo,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),0.10914830852036504
201512,MK10 South Savo,H Transportation and storage (49-53),0.05026998119619784
201512,MK10 South Savo,I Accommodation and food service activities (55-56),0.03572722411026964
201512,MK10 South Savo,J Information and communication (58-63),0.01600910863077268
201512,MK10 South Savo,K Financial and insurance activities (64-66),0.010005692894232926
201512,MK10 South Savo,"M Professional, scientific and technical activities (69-75)",0.038901443924991806
201512,MK10 South Savo,N Administrative and support service activities (77-82),0.03332930805458278
201512,MK10 South Savo,O Public administration and defence; compulsory social security (84),0.06434695602670484
201512,MK10 South Savo,P Education (85),0.06740041747891042
201512,MK10 South Savo,Q Human health and social work activities (86-88),0.197439922714648
201512,MK10 South Savo,"R, S Other service activities (90-96)",0.048976141597805646
201512,MK10 South Savo,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),0.009074128383390551
201512,MK11 North Savo,10-12 Food industry etc.,0.014633535828094464
201512,MK11 North Savo,"13-15 Textile, clothing and leather industry",0.006739128341885608
201512,MK11 North Savo,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.015490367860134205
201512,MK11 North Savo,"17, 18 Paper industry; Printing",0.007297513261641845
201512,MK11 North Savo,19-22 Chemical industry,0.007230121978222989
201512,MK11 North Savo,23 Manufacture of other non-metallic mineral products,0.004659625882103763
201512,MK11 North Savo,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",0.02712017791298823
201512,MK11 North Savo,"26, 27 Manufacture of electrical and electronic products",0.007624842352533432
201512,MK11 North Savo,28 Manufacture of machinery and equipment n.e.c.,0.021440055453398926
201512,MK11 North Savo,"29, 30 Manufacture of transport equipment",0.002994098449037749
201512,MK11 North Savo,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",0.012544406042109924
201512,MK11 North Savo,"681, 68209, 683 Other real estate activities",0.00581490502642701
201512,MK11 North Savo,"68201, 68202 Letting and operation of dwellings",0.0025031048127003687
201512,MK11 North Savo,"A Agriculture, forestry and fishing (01-03)",0.08005121737539833
201512,MK11 North Savo,B Mining and quarrying (05-09),0.00302298042764583
201512,MK11 North Savo,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.00878012149685668
201512,MK11 North Savo,F Construction (41-43),0.08348817282976
201512,MK11 North Savo,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),0.11031953095666741
201512,MK11 North Savo,H Transportation and storage (49-53),0.05449066630724649
201512,MK11 North Savo,I Accommodation and food service activities (55-56),0.028294711709716862
201512,MK11 North Savo,J Information and communication (58-63),0.017897199410807637
201512,MK11 North Savo,K Financial and insurance activities (64-66),0.01397887764631129
201512,MK11 North Savo,"M Professional, scientific and technical activities (69-75)",0.042572036468311654
201512,MK11 North Savo,N Administrative and support service activities (77-82),0.0521704806923973
201512,MK11 North Savo,O Public administration and defence; compulsory social security (84),0.04826178625410365
201512,MK11 North Savo,P Education (85),0.06886426432786823
201512,MK11 North Savo,Q Human health and social work activities (86-88),0.1965418644279924
201512,MK11 North Savo,"R, S Other service activities (90-96)",0.043611787698202585
201512,MK11 North Savo,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),0.011552791443232471
201512,MK12 North Karelia,10-12 Food industry etc.,0.01624285373987613
201512,MK12 North Karelia,"13-15 Textile, clothing and leather industry",0.004600404954740352
201512,MK12 North Karelia,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.015587779895188182
201512,MK12 North Karelia,"17, 18 Paper industry; Printing",0.012967484516436397
201512,MK12 North Karelia,19-22 Chemical industry,0.017419009051929488
201512,MK12 North Karelia,23 Manufacture of other non-metallic mineral products,0.00906681753215817
201512,MK12 North Karelia,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",0.030922463077656025
201512,MK12 North Karelia,"26, 27 Manufacture of electrical and electronic products",0.010466293473082419
201512,MK12 North Karelia,28 Manufacture of machinery and equipment n.e.c.,0.022614935683658882
201512,MK12 North Karelia,"29, 30 Manufacture of transport equipment",0.0011463792282039064
201512,MK12 North Karelia,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",0.011672224868985231
201512,MK12 North Karelia,"681, 68209, 683 Other real estate activities",0.0068336112434492615
201512,MK12 North Karelia,"68201, 68202 Letting and operation of dwellings",0.002158766079085278
201512,MK12 North Karelia,"A Agriculture, forestry and fishing (01-03)",0.08105050023820866
201512,MK12 North Karelia,B Mining and quarrying (05-09),0.006744282991900905
201512,MK12 North Karelia,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.0084564078132444
201512,MK12 North Karelia,F Construction (41-43),0.07936815150071462
201512,MK12 North Karelia,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),0.0994670080990948
201512,MK12 North Karelia,H Transportation and storage (49-53),0.046778227727489276
201512,MK12 North Karelia,I Accommodation and food service activities (55-56),0.028763696998570745
201512,MK12 North Karelia,J Information and communication (58-63),0.01926512625059552
201512,MK12 North Karelia,K Financial and insurance activities (64-66),0.010198308718437351
201512,MK12 North Karelia,"M Professional, scientific and technical activities (69-75)",0.03180085755121486
201512,MK12 North Karelia,N Administrative and support service activities (77-82),0.034465817055740824
201512,MK12 North Karelia,O Public administration and defence; compulsory social security (84),0.06139828489757026
201512,MK12 North Karelia,P Education (85),0.07829621248213435
201512,MK12 North Karelia,Q Human health and social work activities (86-88),0.1946462601238685
201512,MK12 North Karelia,"R, S Other service activities (90-96)",0.04716531681753216
201512,MK12 North Karelia,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),0.010436517389232966
201512,MK13 Central Finland,10-12 Food industry etc.,0.011589493636609802
201512,MK13 Central Finland,"13-15 Textile, clothing and leather industry",0.002021843126635978
